Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
盧秀燕,LuShiowYen,1.00044E+14,POLITICIAN,TW,"我是台中市長盧秀燕。
歡迎您和我一起打造富市台中新好生活！",2011/6/24,253665,293970,2022-11-24 09:40:21 CST,2022/11/24,09:40:21,Live Video Complete,"10,535",8542,1072,186,268,2,7,3,9,446,owned,Yes,35306,36820,0,01:12:18,https://www.facebook.com/100044147541030/posts/533314788369670,#直播中 ⚡️ 市長只有媽媽好 全市跑透透！燕子車隊出發！ 昨天12小時，我們跑了台中12區。 今日繼續出發，為台中大步向前！ 選前最後2天，秀燕與你約定 1126，出門投票 用一票決定台中未來 用一票支持台中進步 用一票堅持守護台中 11/26 ③盧秀燕 向您懇託,https://www.facebook.com/LuShiowYen/videos/533314788369670/,,,#直播中,,,,,5.91
盧秀燕,LuShiowYen,1.00044E+14,POLITICIAN,TW,"我是台中市長盧秀燕。
歡迎您和我一起打造富市台中新好生活！",2011/6/24,253665,293970,2022-11-24 12:03:42 CST,2022/11/24,12:03:42,Native Video,"3,735",3357,124,170,35,1,1,0,3,44,owned,Yes,12453,13477,0,00:00:36,https://www.facebook.com/100044147541030/posts/716694096478835,台中的孩子很優秀，在全世界各地打拚。 雖然離開了家鄉，但秀燕知道你關心著台中。 你們看盡世界，更知道「台中」應該要往哪裡走？ 你們離鄉背井，更知道「台中」應該要大步向前。 秀燕擔任台中市長 四年時間，有將近三年在疫情中度過， 我知道大家在危難中， 愛家人、更想家，但不敢回家。 擔心著把外頭的風險，帶回了家鄉。 秀燕首創免預約，按照通知單在指定時間、地點施打疫苗，希望有把大家的長輩照顧好，不讓年輕朋友擔心。 我也知道大家出外打拚， 上有老下有小的三明治世代，生活備感壓力。 秀燕推動恢復老人健保補助、雙十公車、小黃公車減輕長輩的生活負擔，讓長輩安心出門採買、就醫，享受生活。 我知道你期待著哪天可以回來台中， 台中不會讓你失望，秀燕主政的台中「建設更多、負債更少」我們以財政支援建設、以建設培養財政，讓台中更有力量。 11月26日，回家投票吧！家鄉需要你、家人需要你、台中需要你、秀燕也需要你。 11月26日，回家投票吧！給家鄉一個機會、給台中一個機會、給秀燕再一次機會。 我是③盧秀燕 守護台中，我堅持。 ＃市長只有媽媽好,https://www.facebook.com/LuShiowYen/videos/480935910803624/,,,11月26日，回家投票吧！台中需要你守護、秀燕需要你守護,,,,,-1.1
盧秀燕,LuShiowYen,1.00044E+14,POLITICIAN,TW,"我是台中市長盧秀燕。
歡迎您和我一起打造富市台中新好生活！",2011/6/24,253665,293970,2022-11-24 16:00:23 CST,2022/11/24,16:00:23,Photo,"9,323",8632,373,77,71,0,2,0,4,164,,-,0,0,0,N/A,https://www.facebook.com/100044147541030/posts/716800263134885,"盼望就有力量！ 每天我們穿梭在台中的大街小巷， 昨天開始我們全力衝刺 連續12個小時，走過台中12區 今天我們會完成燕子車隊走遍全台中。 這兩天，秀燕看見台中市民向我揮手、比ＯＫ手勢、大聲為我加油、為我準備熱茶、從樓頂探頭向我比讚、按下車窗為我鼓勵，一聲加油、一個手勢，這是台中市民對台中的盼望。 期待秀燕與你共同 守護台中的安居樂業 守護台中的幸福宜居 守護台中的大步邁進 盼望是有力量的，我們把盼望化做行動 選戰的最後2天，秀燕要拜託大家 1.拿起電話，把「台中的好」向朋友分享。 2.走出家門，告訴朋友「守護台中」投③盧秀燕。 3.更要記得相約11/26，一起去投票。 感謝你為守護台中，挺身而出！ 秀燕感謝大家❤️ ＃市長只有媽媽好 黃健豪-北屯漸好 陳政顯 沈佑蓮陳成添-您的市議員 市議員賴順仁 黃馨慧 張廖乃綸 劉士州議員 朱暖英-溫暖力量幸福南屯 張彥彤 陳文政 李中愛台中 羅廷瑋 張瀞分-守護【豐原，后里】的台中市議員 台中市議員陳本添 台中市議員 羅永珍 有妳""珍""好 - 認珍團隊 市議員賴朝國麻吉團 林霈涵-再出發 楊大鋐 邱愛珊 讓愛傳出去 吳振嘉 振興山城 有嘉在",https://www.facebook.com/photo.php?fbid=716795096468735&set=a.546783853469861&type=3,,,Photos from 盧秀燕's post,,,,,1.31
盧秀燕,LuShiowYen,1.00044E+14,POLITICIAN,TW,"我是台中市長盧秀燕。
歡迎您和我一起打造富市台中新好生活！",2011/6/24,253545,293866,2022-11-23 07:59:23 CST,2022/11/23,07:59:23,Live Video Complete,"9,645",7704,1178,215,330,3,6,0,12,197,owned,Yes,37787,40123,0,02:09:52,https://www.facebook.com/100044147541030/posts/1253818121862842,#直播中⚡️ 全市跑透透！燕子車隊出發！ 台中大步向前，秀燕全力衝刺。 選前最後3天，秀燕與你約定 1126，出門投票 用一票決定台中未來 用一票支持台中進步 用一票堅持守護台中 11/26 ③盧秀燕 向您懇託,https://www.facebook.com/LuShiowYen/videos/1253818121862842/,,,#直播中⚡️ 全市跑透透！燕子車隊出發！,,,,,5.41
盧秀燕,LuShiowYen,1.00044E+14,POLITICIAN,TW,"我是台中市長盧秀燕。
歡迎您和我一起打造富市台中新好生活！",2011/6/24,253597,293903,2022-11-23 12:18:31 CST,2022/11/23,12:18:31,Photo,"17,905",16541,713,111,156,2,5,1,2,374,,-,0,0,0,N/A,https://www.facebook.com/100044147541030/posts/716017276546517,謝謝市民朋友，在雨中的一個招手、一份肯定。 雨後降溫，秀燕還要多嘮叨一句，記得帶上雨具，加件外套。 選戰只剩3天，雨再大、風再刮，秀燕還是會堅定前行，繼續向市民懇託。 我知道市民對台中有期待，我們不會辜負大家，守護台中，讓台中大步向前！ 江啟臣 顏寬恒 賴義鍠 接勵向前 我是佳恬 鄭伯其 愛秀團隊－林碧秀 台中市議員 蘇柏興 為民說話-吳瓊華,https://www.facebook.com/photo.php?fbid=716014819880096&set=a.546783853469861&type=3,,,Photos from 盧秀燕's post,,,,,2.52
盧秀燕,LuShiowYen,1.00044E+14,POLITICIAN,TW,"我是台中市長盧秀燕。
歡迎您和我一起打造富市台中新好生活！",2011/6/24,253597,293903,2022-11-23 19:48:56 CST,2022/11/23,19:48:56,Photo,"5,188",4746,243,94,37,0,7,0,1,60,,-,0,0,0,N/A,https://www.facebook.com/100044147541030/posts/716210066527238,嘿！本週六的聯絡簿，秀燕先幫大家寫好了。 有三個任務要拜託大家。 1.今天先把這張圖先存起來 2.把這張圖傳到家人群組相互體醒 3.11/26:=:http://invalid.invalid/26出門投票前，拿出來打勾勾 儲存圖卡不方便？文字版在這⤵️ 投票日5件事 ☐帶身分證 ☐帶印章 ☐帶投票通知單 ☐佩戴口罩(無選舉相關的) ☐投給③盧秀燕 投票日2提醒 ⚠️當天不能穿戴有姓名、號次的服飾與口罩。 ⚠️當天禁止競選宣傳，包含LINE群組轉發。,https://www.facebook.com/photo.php?fbid=716209706527274&set=a.546783853469861&type=3,,,,,,,,-1.37
盧秀燕,LuShiowYen,1.00044E+14,POLITICIAN,TW,"我是台中市長盧秀燕。
歡迎您和我一起打造富市台中新好生活！",2011/6/24,253500,293823,2022-11-22 08:33:10 CST,2022/11/22,08:33:10,Photo,"10,370",9319,549,261,60,0,2,0,8,171,,-,0,0,0,N/A,https://www.facebook.com/100044147541030/posts/715200596628185,守護台中．守護秀燕 選前之夜．與你約定！ 4年來，我們日以繼夜地拚， 因為我們看見台中發展的潛力 因為我們知道台中還能更好 因為台中就是我們的家 所以不論遇到「百年大疫」、「百年大旱」 台中沒有停下發展的腳步 我們做到「建設更多、舉債變少」 我們做到「中央評比11項經濟指標全國第一」 我們做到「多項評比全國最宜居、最幸福的城市」 這就是我們守護台中的決心。 11月25日選前之夜，我要拜託所有的市民朋友 為秀燕站出來，為台中站出來 我們一起再次約定「守護台中」 11月26日投票日，我要拜託所有的市民朋友 決定台中的未來、決定自己的未來 出門投票「守護盧秀燕」 選前之夜活動資訊： 📍北屯區太原路、和順路口（原太原夜市） ⏰11/25(五) 19:00 大集結,https://www.facebook.com/photo.php?fbid=715464783268433&set=a.546783853469861&type=3,,,,,,,,1.46
盧秀燕,LuShiowYen,1.00044E+14,POLITICIAN,TW,"我是台中市長盧秀燕。
歡迎您和我一起打造富市台中新好生活！",2011/6/24,253545,293866,2022-11-22 09:18:12 CST,2022/11/22,09:18:12,Live Video Complete,"1,471",1250,122,25,55,1,1,0,3,14,owned,Yes,5068,5106,0,01:39:36,https://www.facebook.com/100044147541030/posts/614734020404725,【直播📽：11/22 台中市政府｜市政會議】 早安，今天召開第556市政會議，歡迎大家收看了解市政，也一起推動市政。 📋市政會議｜專案報告 運動局「健康活力酷城市–臺中運動賽事推動成果」(教育局補充臺中市學校參與賽事成果)、東區公所「區務簡報」 #新市政 #陽光政治 #全民參與公開透明,https://www.facebook.com/LuShiowYen/videos/614734020404725/,,,盧秀燕｜【直播：11/22 台中市政府｜市政會議】,,,,,-1.21
盧秀燕,LuShiowYen,1.00044E+14,POLITICIAN,TW,"我是台中市長盧秀燕。
歡迎您和我一起打造富市台中新好生活！",2011/6/24,253545,293866,2022-11-22 18:16:23 CST,2022/11/22,18:16:23,Photo,"10,035",9186,493,71,67,0,2,0,3,213,,-,0,0,0,N/A,https://www.facebook.com/100044147541030/posts/715468093268102,選舉倒數4天，秀燕會全力衝刺向市民懇託。 期待您感受到秀燕的誠意。 11月26日，站出來力挺我 #守護台中！,https://www.facebook.com/photo.php?fbid=715467736601471&set=a.546783853469861&type=3,,,Photos from 盧秀燕's post,,,,,1.41
盧秀燕,LuShiowYen,1.00044E+14,POLITICIAN,TW,"我是台中市長盧秀燕。
歡迎您和我一起打造富市台中新好生活！",2011/6/24,253412,293737,2022-11-21 09:16:03 CST,2022/11/21,09:16:03,Photo,"12,264",10919,599,76,66,0,2,0,3,599,,-,0,0,0,N/A,https://www.facebook.com/100044147541030/posts/714553746692870,台中早安！ 週一是繁忙的開始。市民朋友透早上班，秀燕在路口向大家問候，為大家上班加油。 也要感謝市民朋友，按下車窗比出三號的手勢，為我的競選加油！ 選戰剩下最後五天，為了 #守護台中，我們每天跟時間賽跑，秀燕會努力到最後一刻，期待市民朋友用手中的一票守護秀燕。 - 謝謝 朱暖英-溫暖力量幸福南屯、劉士州議員、李中愛台中、羅廷瑋、林霈涵-再出發，與秀燕一起拜票，邀請市民朋友也為優質好議員加油！,https://www.facebook.com/photo.php?fbid=714617486686496&set=a.546783853469861&type=3,,,Photos from 盧秀燕's post,,,,,1.72
